,p,mse,mse_tuned,psnr,psnr_tuned,ssim,ssim_tuned
0,0.01,0.02004573680460453,0.018773134797811508,32.611114501953125,32.978267669677734,0.8259763121604919,inf
1,0.02,0.020463405176997185,0.018915819004178047,32.4879264831543,32.93440246582031,0.8217330574989319,-inf
2,0.05,0.022798484191298485,0.019170468673110008,31.87054443359375,32.85744094848633,0.8312504887580872,inf
3,0.1,0.030938519164919853,0.019531438127160072,30.28766632080078,32.75508117675781,0.8183422684669495,
4,0.2,0.06847385317087173,0.020273620262742043,26.634090423583984,32.545589447021484,0.7991821765899658,-inf
5,0.3,0.13525822758674622,0.021150220185518265,23.62369728088379,32.30689239501953,0.767943799495697,0.8190581202507019
6,0.4,0.23691986501216888,0.022050410509109497,21.162715911865234,32.086124420166016,0.7281510233879089,inf
7,0.5,0.39867591857910156,0.023323213681578636,18.890195846557617,31.788663864135742,0.6773780584335327,0.8143133521080017
8,0.6,0.6657033562660217,0.025085099041461945,16.667505264282227,31.405654907226562,0.6077404022216797,inf
9,0.7,1.0910812616348267,0.027733411639928818,14.52243423461914,30.900455474853516,0.5089740753173828,
10,0.8,1.681220293045044,0.03254808112978935,12.645280838012695,30.11084747314453,0.37929317355155945,
11,0.9,2.4107961654663086,0.0445902943611145,11.0769681930542,28.631553649902344,0.23494473099708557,-inf
12,0.95,2.7759077548980713,0.0661129578948021,10.469213485717773,26.851186752319336,0.17562952637672424,0.7483648657798767
13,0.99,2.9246888160705566,0.2073034942150116,10.251410484313965,21.962669372558594,0.1533345878124237,0.6663255095481873
