,p,mse,mse_tuned,mae,mae_tuned,psnr,psnr_tuned,ssim,ssim_tuned
0,0,0.017405228689312935,0.017405228689312935,0.0790720283985138,0.0790720283985138,35.52933883666992,35.52933883666992,0.8435302972793579,0.8435302972793579
0,0.1,0.048144553,0.017965589,0.166758046,0.080859147,28.71291924,35.24544144,0.825725794,0.832661688
1,0.2,0.142636389,0.018248886,0.304491252,0.082232922,23.61305428,35.10311508,0.791693807,0.828686297
2,0.3,0.317010701,0.018682038,0.460768133,0.08331836,20.10769463,34.91682816,0.731635749,0.825988233
3,0.4,0.572291553,0.019348824,0.622425854,0.084833488,17.53081131,34.61703873,0.652359605,0.822051048
4,0.5,0.901545048,0.019883795,0.784269392,0.086162426,15.54654121,34.41074371,0.551340401,0.818637073
5,0.6,1.287913203,0.020608326,0.942198396,0.088069633,13.99040604,34.13194275,0.424560189,0.811333835
6,0.7,1.749238014,0.021820722,1.101204634,0.091194779,12.6580925,33.66734314,0.298199654,0.808478773
7,0.8,2.293863058,0.023214914,1.259423256,0.095160767,11.48122501,33.21183395,0.188084841,0.79746294
8,0.9,2.884511709,0.026684813,1.409990311,0.102468863,10.50954342,32.24283218,0.097309574,0.781243503
